1.993000000000000000e+03,2.852999999999999980e-01,2.399999999999999911e-01
1.994000000000000000e+03,3.408999999999999808e-01,3.200000000000000067e-01
1.995000000000000000e+03,4.576999999999999957e-01,4.600000000000000200e-01
1.996000000000000000e+03,3.227999999999999758e-01,3.499999999999999778e-01
1.997000000000000000e+03,5.187000000000000499e-01,4.799999999999999822e-01
1.998000000000000000e+03,6.343999999999999639e-01,6.400000000000000133e-01
1.999000000000000000e+03,4.437999999999999723e-01,4.199999999999999845e-01
2.000000000000000000e+03,4.262000000000000233e-01,4.199999999999999845e-01
2.001000000000000000e+03,5.473000000000000087e-01,5.500000000000000444e-01
2.002000000000000000e+03,6.022999999999999465e-01,6.300000000000000044e-01
2.003000000000000000e+03,6.133999999999999453e-01,6.199999999999999956e-01
2.004000000000000000e+03,5.783000000000000362e-01,5.500000000000000444e-01
2.005000000000000000e+03,6.584999999999999742e-01,6.899999999999999467e-01
2.006000000000000000e+03,6.125000000000000444e-01,6.300000000000000044e-01
2.007000000000000000e+03,6.099999999999999867e-01,6.600000000000000311e-01
2.008000000000000000e+03,5.419000000000000483e-01,5.400000000000000355e-01
2.009000000000000000e+03,6.367000000000000437e-01,6.400000000000000133e-01
2.010000000000000000e+03,7.014000000000000234e-01,7.099999999999999645e-01
2.011000000000000000e+03,5.787999999999999812e-01,5.999999999999999778e-01
2.012000000000000000e+03,6.239999999999999991e-01,6.300000000000000044e-01
2.013000000000000000e+03,6.679000000000000492e-01,6.500000000000000222e-01
2.014000000000000000e+03,7.408000000000000140e-01,7.399999999999999911e-01
2.015000000000000000e+03,8.998000000000000442e-01,8.699999999999999956e-01
2.016000000000000000e+03,9.363000000000000211e-01,9.899999999999999911e-01
2.017000000000000000e+03,6.536109994711800653e-01,6.650079323109459040e-01
2.018000000000000000e+03,6.650249175291484960e-01,6.771587217647478951e-01
2.019000000000000000e+03,6.764388355871169267e-01,6.893095112185534390e-01
2.020000000000000000e+03,6.878527536450853574e-01,7.014603006723554302e-01
2.021000000000000000e+03,6.992666717030537882e-01,7.136110901261609740e-01
2.022000000000000000e+03,7.106805897610222189e-01,7.257618795799629652e-01
2.023000000000000000e+03,7.220945078189906496e-01,7.379126690337685091e-01
2.024000000000000000e+03,7.335084258769590804e-01,7.500634584875705002e-01
2.025000000000000000e+03,7.449223439349275111e-01,7.622142479413760441e-01
2.026000000000000000e+03,7.563362619928994945e-01,7.743650373951780352e-01
2.027000000000000000e+03,7.677501800508679253e-01,7.865158268489835791e-01
2.028000000000000000e+03,7.791640981088363560e-01,7.986666163027855703e-01
2.029000000000000000e+03,7.905780161668047867e-01,8.108174057565911141e-01
2.030000000000000000e+03,8.019919342247732175e-01,8.229681952103931053e-01
2.031000000000000000e+03,8.134058522827416482e-01,8.351189846641986492e-01
2.032000000000000000e+03,8.248197703407100789e-01,8.472697741180006403e-01
2.033000000000000000e+03,8.362336883986785097e-01,8.594205635718061842e-01
2.034000000000000000e+03,8.476476064566469404e-01,8.715713530256081754e-01
2.035000000000000000e+03,8.590615245146189238e-01,8.837221424794137192e-01
2.036000000000000000e+03,8.704754425725873546e-01,8.958729319332157104e-01
2.037000000000000000e+03,8.818893606305557853e-01,9.080237213870212543e-01
2.038000000000000000e+03,8.933032786885242160e-01,9.201745108408232454e-01
2.039000000000000000e+03,9.047171967464926468e-01,9.323253002946287893e-01
2.040000000000000000e+03,9.161311148044610775e-01,9.444760897484307804e-01
2.041000000000000000e+03,9.275450328624295082e-01,9.566268792022363243e-01
2.042000000000000000e+03,9.389589509203979389e-01,9.687776686560383155e-01
2.043000000000000000e+03,9.503728689783663697e-01,9.809284581098438593e-01
2.044000000000000000e+03,9.617867870363383531e-01,9.930792475636458505e-01
2.045000000000000000e+03,9.732007050943067838e-01,1.005230037017451394e+00
2.046000000000000000e+03,9.846146231522752146e-01,1.017380826471253386e+00
2.047000000000000000e+03,9.960285412102436453e-01,1.029531615925058929e+00
2.048000000000000000e+03,1.007442459268212076e+00,1.041682405378860921e+00
2.049000000000000000e+03,1.018856377326180507e+00,1.053833194832662912e+00
2.050000000000000000e+03,1.030270295384148938e+00,1.065983984286468456e+00
